date,close,pair_value,total_value,hold_value_compare,hold_strategy_value,amount0,amount1,cumulative_feeV,PNL,IL_change
2023-10-15,1557.0663551163366,10005.32109719947,10005.94507239941,10005.318570857118,10009.085555664056,4143.663403200804,3.7645522779025766,0.6239751999392212,5.318570857118175,0.002526342352211941
2023-10-16,1601.0235265964195,10166.354346601416,10170.54512629559,10170.728081181576,10291.649679333836,4463.503936910135,3.56200287813062,4.190779694174513,165.4095103244581,-4.3762609225123015
2023-10-17,1565.1944669220088,10035.727651251656,10041.581303920662,10035.904410399771,10061.334431379373,4190.034689746306,3.734802981383547,5.8536526690057515,-134.82367078180505,4.196975432045292
2023-10-18,1563.9342706613354,10031.01799445711,10038.948770315295,10031.162329884304,10053.2336769391,4210.2160590841895,3.721896785925343,7.9307758581846945,-4.742080515467023,0.03242372092063306
2023-10-19,1566.9985679091596,10042.420617969598,10051.559003128461,10042.693187994246,10072.931497279691,4212.502011656934,3.7204364609544625,9.13838515886391,11.530858109941619,-0.12823459745413857
2023-10-20,1604.8334134623665,10179.942893382276,10191.424736335219,10185.064570534021,10316.140275687269,4496.290781905591,3.5415838577378724,11.48184295294292,142.37138253977537,-4.849107127096431
2023-10-21,1628.888888769354,10264.271581756633,10277.106448994165,10275.584598487909,10470.77293449378,4647.437049001557,3.448261309584268,12.834867237532764,90.52002795388762,-6.191339579530904
2023-10-22,1663.3999845592627,10381.23125341966,10395.64600699078,10405.448810928323,10692.616087963694,4884.74044871779,3.3043710807525524,14.414753571120302,129.86421244041412,-12.9045407773865
2023-10-23,1765.6722768738675,10701.705577358021,10722.06756495363,10790.296361894689,11350.039659147518,5644.590749656777,2.8641299373261346,20.361987595609065,384.8475509663658,-64.3732270280052
2023-10-24,1784.390817906963,10755.401053422287,10785.657320512773,10860.733667162966,11470.365602908254,5676.2978814364105,2.8464073682824216,30.256267090487057,70.43730526827676,-16.741829204011083
2023-10-25,1786.5148196819157,10761.492935526254,10795.786722399544,10868.726221772225,11484.019045111296,5689.698769525719,2.838932042502482,34.293786873290266,7.992554609259969,-1.900672505293187
2023-10-26,1802.9206196036648,10807.959593007097,10847.093836756134,10930.460752001658,11589.478298332155,5776.277953527051,2.790850348467454,39.13424374903738,61.734530229432494,-15.26787274858907
2023-10-27,1780.364054565655,10743.739025500756,10785.405134127763,10845.58107817575,11444.480887935682,5583.708991157008,2.898300502703987,41.66610862700702,-84.87967382590796,20.65910631956649
2023-10-28,1776.330628065306,10732.051694335349,10774.66774002829,10830.403415922056,11418.553341051234,5588.8913255552325,2.895384613382363,42.61604569294095,-15.177662253694507,3.4903310882873484
2023-10-29,1795.2195860745253,10786.42507376297,10830.198970062233,10901.481995130907,11539.974753921913,5769.874440177188,2.7943938850149825,43.77389629926252,71.0785792088518,-16.705199781230476
2023-10-30,1809.6359350587336,10826.69409875917,10872.749669962519,10955.730281493576,11632.6454804514,5790.68435592344,2.782885576745734,46.05557120335013,54.248286362668296,-13.979261366468563
2023-10-31,1816.1508154591895,10844.81940879275,10893.028295202283,10980.245579921047,11674.524232181418,5792.122072876197,2.7820912739777315,48.20888640953305,24.515298427471862,-6.389988393892054
2023-11-01,1846.249689583739,10926.356532545684,10978.071394185983,11093.50673532808,11868.004879458824,5994.525536777854,2.671269776559732,51.714861640299176,113.26115540703177,-31.724031654097416
2023-11-02,1800.035082204853,10799.823506519284,10854.871337964725,10919.602561811313,11570.929576497743,5709.904115474616,2.8276778832610603,55.047831445440536,-173.9041735167666,47.37114749036664
2023-11-03,1833.0470836636,10890.935942668655,10948.604353919653,11043.825727503303,11783.136298374806,5922.475972157584,2.7104922807443175,57.668411250998055,124.22316569199029,-33.11072954261908
2023-11-04,1857.5237792418943,10956.110070494127,11015.100823950137,11135.930794632131,11940.476632239246,6088.324634922293,2.620577722864205,58.990753456009934,92.10506712882852,-26.930939303356354
2023-11-05,1894.3373742872127,11050.49484197161,11112.706529390625,11274.459242316443,12177.120639868986,6268.689649810772,2.5242627089908423,62.2116874190161,138.5284476843117,-44.143676206829696
2023-11-06,1900.4232815083164,11065.599465439476,11130.83974284384,11297.360327609862,12216.241879538511,6365.817406667051,2.473018566180862,65.24027740436327,22.901085293418873,-7.796461825551887
2023-11-07,1886.813738764894,11031.54825739513,11099.378044425088,11246.148028794201,12128.757439813267,6232.488846129367,2.5434727936670747,67.82978702995702,-51.21229881566069,17.161090771314775
2023-11-08,1889.660621953325,11038.68269936289,11108.033901405157,11256.860764356876,12147.05768585375,6287.5621618483165,2.514271865708554,69.35120204226835,10.712735562674425,-3.5782935949155217
2023-11-09,2121.6940328451647,11541.860101720586,11620.93437282603,12129.99549032356,13638.60764694417,7495.83717830333,1.9069775664079098,79.0742711054437,873.1347259666836,-369.9573236089873
2023-11-10,2079.006712352355,11460.184649402863,11544.491803179495,11969.364390959532,13364.206339928156,7438.710644478884,1.9343246854521987,84.30715377663233,-160.63109936402725,78.95564704630488
2023-11-11,2052.789651232248,11408.199982524131,11496.074887194225,11870.710380794477,13195.678642372444,7208.335005626904,2.045930509429514,87.87490467009486,-98.6540101650553,46.669343286323056
2023-11-12,2046.0399419977975,11394.69331570398,11484.960477311915,11845.311428548222,13152.290371229417,7302.916352039785,1.999851947987338,90.26716160793455,-25.39895224625434,11.892285426103626
2023-11-13,2055.270282260046,11413.135580009835,11508.230631652446,11880.044920524575,13211.624557655809,7295.617976317522,2.0033947063957687,95.09505164261014,34.733491976352525,-16.291227670497392
2023-11-14,2056.275151133292,11369.44035917857,11464.908808733937,11798.49883155476,13072.321810653797,7271.369808110956,2.0151806346208843,95.46844955536635,-81.54608896981517,37.85086813855014
